Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,kwadratowy,okragly,plaskownik,profil,rura
ceownik_00053-view02.png,ceownik,plaskownik,0.108863875,0.00017507162,0.0041207136,0.00069437176,0.0072495867,0.7424631,0.11425311,0.022180168
ceownik_00069-view01.png,ceownik,profil,0.34811154,0.020823963,0.0005400508,8.854113e-05,4.937344e-06,0.0012836112,0.62906253,8.480006e-05
ceownik_00069-view03.png,ceownik,dwuteownik,0.08878054,0.7445675,1.758917e-05,1.2046496e-05,2.9488535e-06,0.00024300233,0.1663545,2.1787688e-05
ceownik_00169-view02.png,ceownik,dwuteownik,0.08612937,0.91156334,0.0006465234,0.0005777064,0.0010039803,7.3369076e-05,5.123259e-06,6.1284436e-07
ceownik_00169-view03.png,ceownik,dwuteownik,0.15274277,0.8445041,0.00016054737,0.000351276,0.0015117187,0.0007213399,8.026969e-06,2.0954133e-07
ceownik_00202-view01.png,ceownik,dwuteownik,0.49970874,0.49994755,2.0182365e-06,2.059639e-06,6.6597926e-07,1.2427864e-06,0.0003122503,2.5541249e-05
ceownik_00202-view02.png,ceownik,dwuteownik,0.11073539,0.8892642,8.6250235e-10,3.741184e-09,1.8372669e-10,5.230336e-09,3.716094e-07,4.259287e-09
dwuteownik_00020-view04.png,dwuteownik,ceownik,0.9508833,0.04883889,1.2726608e-05,9.3297395e-08,4.444698e-08,0.00025817088,6.7563947e-06,6.962707e-08
dwuteownik_00043-view04.png,dwuteownik,katownik,0.2072036,0.27025393,0.46839595,0.0018313964,0.015769523,0.004644529,0.03188093,2.0186575e-05
dwuteownik_00198-view03.png,dwuteownik,ceownik,0.61764145,0.38214874,6.519756e-05,4.790584e-05,1.1271859e-05,7.35472e-05,5.1046954e-06,6.7587152e-06
dwuteownik_00250-view04.png,dwuteownik,ceownik,0.9794606,0.019789733,0.0005087055,1.8937225e-06,3.105801e-06,2.768697e-06,0.00023114828,2.0132309e-06
katownik_00173-view03.png,katownik,ceownik,0.9348654,0.0010479136,0.06312905,0.00034974134,0.000103279526,0.00043069496,6.13591e-05,1.2580905e-05
okragly_00059-view04.png,okragly,rura,6.23975e-06,1.9851659e-07,0.0017847908,0.0022429884,0.047289502,2.5969692e-05,6.82333e-05,0.9485822
okragly_00155-view04.png,okragly,profil,0.003522325,0.0077948296,0.0037135568,0.0008890474,0.38276803,0.00023274643,0.6003778,0.0007016647
okragly_00194-view02.png,okragly,kwadratowy,2.4616574e-07,5.061109e-07,0.00013267665,0.57684106,0.40167505,9.2655384e-05,3.231065e-06,0.021254629
plaskownik_00019-view02.png,plaskownik,ceownik,0.8809287,0.0018257364,0.00758058,0.000103270504,0.00019358068,0.0970193,0.012300057,4.8790185e-05
plaskownik_00021-view04.png,plaskownik,ceownik,0.6551708,0.0064749424,0.00027456705,3.102994e-05,0.00034356347,0.030634528,0.3067472,0.0003233551
profil_00164-view02.png,profil,dwuteownik,0.000721273,0.57454497,3.3832475e-06,0.010308301,4.7563244e-06,2.0119878e-05,0.41439676,4.1267913e-07
profil_00248-view01.png,profil,katownik,7.0980645e-06,6.389976e-09,0.9166551,1.3999351e-05,0.00014193667,5.8411433e-06,0.08317582,2.0229106e-07
rura_00164-view01.png,rura,profil,2.1886478e-06,1.0229356e-07,0.00014169527,3.6044858e-05,0.00033989683,2.9522522e-05,0.8980472,0.101403296
