Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,kwadratory,okragly,plaskownik,profil,rura
1.jpg,ceownik,dwuteownik,0.015389283,0.98460704,3.504522e-07,9.5824876e-11,1.9164018e-08,2.0316298e-13,3.2063988e-06,4.038116e-08
4b26a6a243bab59139c7ee97569d.jpg,ceownik,dwuteownik,8.698881e-06,0.9999913,1.00670245e-08,3.8695176e-14,6.6647816e-13,8.649059e-15,1.8253001e-08,1.7157515e-11
8045786_3881.jpg,ceownik,dwuteownik,0.22081107,0.7791229,3.2309066e-07,1.1303395e-06,4.1096545e-08,1.7570965e-08,6.436716e-05,1.6166747e-07
8c2306b1d634ec79fed32cc21a5b50701610f948.jpg,ceownik,dwuteownik,5.0718677e-06,0.9999949,3.5719068e-13,2.1425202e-11,2.8584383e-13,2.5531896e-13,2.4591973e-10,1.5570487e-10
ceownik-hutniczy-8-80mm-ocynkowany-50-rura-487826842.jpg,ceownik,dwuteownik,5.384236e-05,0.99992716,4.9963406e-10,1.9616312e-11,4.822351e-10,8.32249e-14,1.8968973e-05,5.913372e-10
ceownik-hutniczy-goracowalcowany-zwykly-unp-120-zagorze-547508813.jpg,ceownik,dwuteownik,0.0023582128,0.9976398,2.3421793e-08,5.4340777e-08,6.103222e-08,1.8167101e-07,1.3920761e-06,2.6486876e-07
ceownik-stalowy-120-mazowieckie-biala-516753939.jpg,ceownik,dwuteownik,0.2679963,0.7320036,1.8069504e-11,9.962554e-12,5.150103e-12,2.4575379e-12,1.5719726e-08,1.9394661e-11
ceownik-stalowy-40x20x5-materialy-budowlane-biala-549950371.jpg,ceownik,dwuteownik,0.0017841192,0.9813115,3.833337e-06,0.0041708318,0.00019488907,0.001722698,0.00067361013,0.010138483
ceownik-stalowy-80-biala-492818920.jpg,ceownik,dwuteownik,0.37688312,0.6227498,7.0560894e-08,1.7741826e-06,1.0136534e-05,7.6440364e-07,7.9136495e-05,0.00027516184
ceownik1-1.jpg,ceownik,dwuteownik,0.08868523,0.90903306,1.1863432e-06,0.00011423225,7.601747e-05,0.0011545937,1.6275415e-05,0.0009194076
ceownik_zimnogiety.jpg,ceownik,dwuteownik,0.049685996,0.9417885,7.9091305e-06,2.8415984e-08,1.7105183e-08,1.0981279e-08,0.0085104145,7.170753e-06
image (1).jpg,ceownik,dwuteownik,1.2924673e-06,0.9999987,8.821201e-13,1.419239e-12,1.0364497e-12,5.546673e-15,1.7551857e-08,4.407788e-10
image.jpg,ceownik,dwuteownik,2.317261e-06,0.99999774,6.365997e-11,5.3244865e-13,1.1487766e-09,2.946548e-12,9.287704e-10,6.625951e-09
images (1).jpg,ceownik,dwuteownik,0.018912973,0.980963,5.4016795e-08,3.1740315e-11,8.830387e-09,1.05838535e-13,0.00012403123,2.2626171e-08
images.jpg,ceownik,dwuteownik,0.01749126,0.98250705,1.3838387e-06,2.373663e-11,4.9487765e-09,4.886216e-13,2.4428604e-07,1.6322999e-10
IMG20220625102301.jpg,ceownik,dwuteownik,0.026499543,0.9620386,0.00013558006,1.491185e-05,0.0022013658,6.0573137e-05,0.0023334546,0.0067160055
IMG20220625102303.jpg,ceownik,dwuteownik,0.13323787,0.86671805,1.00012e-08,2.820605e-07,1.5435321e-06,4.0227383e-06,3.775982e-05,3.786262e-07
IMG20220625102304.jpg,ceownik,dwuteownik,0.42278263,0.57721716,1.7306324e-09,6.09879e-09,6.6197825e-09,1.0995508e-10,1.9299753e-07,2.3636346e-10
pobrane.jpg,ceownik,dwuteownik,1.8723044e-07,0.9999982,5.91264e-07,4.626689e-11,7.683174e-10,4.2599626e-12,9.2053006e-07,2.7367537e-09
stainless-steel-channels-500x500.jpg,ceownik,dwuteownik,0.00087580044,0.9991216,1.4802284e-09,7.751623e-10,2.8959265e-08,1.2780943e-10,2.1333328e-07,2.3458351e-06
Standard-Length-of-C-Channel-Stainless-Steel-Channels-Stainless-Steel-U-Channel-Steel.jpg,ceownik,dwuteownik,0.078233354,0.9217646,1.0798266e-06,3.4004424e-10,5.2747765e-08,1.5955856e-11,8.8770935e-07,2.5591847e-08
c5a0da6b4a6086640284f30afbed.jpg,dwuteownik,ceownik,0.5206678,0.4787063,0.00050142134,4.3310636e-05,6.412928e-05,4.9222663e-06,6.046049e-06,6.079248e-06
0305-ms-angle-500x500.jpg,katownik,dwuteownik,2.355669e-06,0.9989906,3.894897e-05,3.5003693e-06,8.1406245e-07,2.648224e-06,2.234388e-06,0.0009589188
1280px-Balk3.jpg,katownik,dwuteownik,0.33249053,0.667472,1.0895993e-05,3.0590073e-08,1.3217733e-06,1.0335044e-05,1.2131733e-05,2.7971803e-06
image.jpg,katownik,ceownik,0.9221466,0.06474939,6.898576e-06,5.0880182e-05,5.1813735e-05,1.9159349e-07,0.01299367,5.6933555e-07
images (1).jpg,katownik,dwuteownik,7.660483e-05,0.99889624,1.0861466e-07,3.5673863e-06,2.8477472e-05,1.17570664e-07,5.7406976e-07,0.000994342
images-1.jpg,katownik,dwuteownik,0.00797576,0.98891544,0.0029460571,2.3935723e-05,2.364649e-05,4.32494e-06,3.309535e-08,0.00011092525
images.jpg,katownik,dwuteownik,1.1545363e-05,0.6525063,5.5261204e-05,3.0627209e-07,0.00047350346,4.47562e-05,4.9355134e-05,0.3468591
IMG20220625100135.jpg,katownik,ceownik,0.7629084,0.23708634,7.3056627e-09,2.00037e-07,2.8392312e-06,4.1108287e-08,1.955093e-06,2.6925466e-07
IMG20220625100141.jpg,katownik,dwuteownik,0.4312457,0.5682767,2.7192112e-08,9.147699e-06,1.8056324e-05,1.5115634e-06,0.0004418681,6.989378e-06
IMG20220625102244.jpg,katownik,dwuteownik,0.10167752,0.89678895,0.0015037758,2.3649172e-06,1.5307729e-05,3.7898081e-07,1.0996697e-05,6.899756e-07
IMG20220625102246.jpg,katownik,dwuteownik,0.4656244,0.53429425,1.141512e-05,8.4931435e-07,4.1304702e-05,2.5044517e-05,2.318271e-06,3.5391727e-07
IMG20220625102247.jpg,katownik,ceownik,0.8686892,0.13124266,7.592612e-08,2.4173853e-06,5.8331087e-05,6.561803e-08,7.21142e-06,4.3099647e-08
IMG20220625102248.jpg,katownik,dwuteownik,2.6582153e-05,0.9999734,1.632318e-09,1.8196557e-13,2.6765159e-08,1.0189011e-11,5.5697183e-11,9.733175e-10
IMG20220625105157.jpg,katownik,dwuteownik,0.10247321,0.8911249,7.152779e-05,6.7736873e-06,0.0040555946,2.091403e-07,0.00041244863,0.0018553702
IMG20220625105159.jpg,katownik,dwuteownik,0.00034357765,0.9994005,1.6425959e-06,1.1422646e-06,2.812987e-05,1.5076714e-06,9.311104e-08,0.00022347676
IMG20220625105201.jpg,katownik,dwuteownik,0.022019234,0.9779254,2.2728e-07,8.280747e-08,9.122205e-07,1.2343874e-06,5.0729886e-05,2.197727e-06
IMG20220625105202.jpg,katownik,dwuteownik,0.006518879,0.9934749,1.5038778e-06,3.819748e-08,1.6928536e-07,6.5447564e-10,4.4859366e-06,3.7716696e-08
katownik-stalowy-zimno-giety-20x20x2-mm-100-adamow-499451989.jpg,katownik,ceownik,0.8939022,0.00067316066,0.10103956,4.5411354e-05,3.3378987e-05,2.045098e-05,0.002258738,0.0020271116
katownik-stalowy-zimnogiety-40x40x2-s235j_l.jpg,katownik,ceownik,0.62677485,0.3732186,5.209502e-07,3.31347e-06,2.061489e-06,1.3997142e-08,1.0577843e-07,5.722534e-07
katowniki-1.jpg,katownik,dwuteownik,0.020968737,0.9696405,0.00014386758,0.0008217249,0.0076007633,2.5502379e-05,5.598396e-06,0.0007933081
katowniki-50x50x5-mazowieckie-biala-475806088.jpg,katownik,dwuteownik,0.0044040442,0.9345413,0.0028964586,0.023763789,0.007248636,0.00062916434,0.0008416046,0.025675125
katowniki-stalowe-hutnicze-biala-551897375.jpg,katownik,dwuteownik,1.5660339e-06,0.9999981,2.0454239e-07,1.954109e-09,1.3919178e-08,1.4485397e-11,4.507612e-08,4.9873097e-09
katowniki.jpg,katownik,dwuteownik,7.2227035e-06,0.9999927,2.75759e-11,6.590144e-14,3.2661278e-12,2.5067527e-14,7.490398e-09,1.4414421e-09
kątownik GW.jpg,katownik,dwuteownik,0.063347846,0.9329212,1.0981196e-05,0.0027545542,8.3849314e-05,0.00030221284,0.00020482781,0.0003745511
kątownik-720x432.jpg,katownik,dwuteownik,3.4657057e-06,0.99998987,4.5687017e-08,1.5776982e-10,5.948286e-08,1.0129101e-09,4.199673e-07,6.20357e-06
unequal-steel-angle-1-small.jpg,katownik,dwuteownik,0.10205168,0.6479501,0.12754542,8.1025275e-05,0.026987683,5.7147995e-06,0.025326803,0.07005153
14943424_8420.jpg,kwadratory,ceownik,0.8659887,0.06901759,0.007109908,0.057728574,4.787335e-05,4.9690145e-05,1.646813e-05,4.116681e-05
2.jpg,kwadratory,dwuteownik,0.11896877,0.8810308,5.9812385e-16,1.3183165e-09,1.3608818e-11,8.398466e-14,4.008817e-07,7.2697707e-12
304-pr-t-kwadratowy-ze-stali-nierdzewnej-3MM-4MM-5MM-6MM-7MM.jpg,kwadratory,profil,0.0028671066,0.20732217,0.00012493585,0.07253685,2.748431e-05,0.0010011896,0.6442712,0.07184907
4755371c4e139fbf634247226447.jpg,kwadratory,ceownik,0.9985985,0.0014001151,1.8034369e-08,1.3140618e-06,2.7987554e-10,5.4601177e-09,5.7260188e-09,1.2250698e-09
6ac0b04ee48fbd9944cd8460e007f169.jpg,kwadratory,dwuteownik,0.0003398635,0.79665285,7.4843666e-07,0.00021248266,1.1483725e-05,5.825679e-09,0.20243466,0.00034786345
8045571_11599.jpg,kwadratory,dwuteownik,0.32069236,0.6713857,0.00068640214,0.0035168717,0.00070660486,0.0023279767,7.3591866e-05,0.0006104219
8047521_8561.jpg,kwadratory,dwuteownik,0.2649894,0.72240925,1.0191512e-05,0.0010610416,0.0047468334,0.0020436116,0.00015709558,0.0045826356
83881636_219210815749065_2679444175430090752_n.jpg,kwadratory,dwuteownik,0.044265907,0.8388421,4.0714436e-05,0.033577114,0.076161,7.121509e-05,0.0008058176,0.00623615
hlazenka_ctvercova.jpg,kwadratory,dwuteownik,0.17807227,0.8048867,3.2036058e-07,0.0011883576,9.756703e-06,1.749298e-07,0.015837906,4.4075614e-06
image.jpg,kwadratory,dwuteownik,0.037041806,0.9571656,0.00056265236,0.0044600205,0.0004143598,2.0448633e-05,0.00019048838,0.00014456753
images (1).jpg,kwadratory,ceownik,0.9855703,0.014067412,1.2663162e-05,0.00032963973,7.6674337e-07,1.9051638e-05,1.0371558e-09,1.4718005e-07
images (2).jpg,kwadratory,dwuteownik,0.4490675,0.54924726,6.9443256e-09,0.00031965904,0.00012051267,3.5382996e-06,0.00019268451,0.0010489007
images (3).jpg,kwadratory,ceownik,0.9902526,0.009695761,1.4373797e-05,3.5301971e-07,1.6556065e-06,1.3925484e-08,1.293601e-06,3.3875454e-05
images.jpg,kwadratory,dwuteownik,0.0002646683,0.9987311,5.3427147e-08,4.1534233e-07,1.7129802e-05,3.8706114e-07,1.2059489e-06,0.0009850026
IMG20220625102606.jpg,kwadratory,okragly,0.19820385,0.17416431,0.00027349568,0.021324206,0.5019344,0.01728478,0.046644337,0.040170535
IMG20220625102608.jpg,kwadratory,rura,0.081895925,0.29634917,0.0008478265,0.0003273218,0.29484814,0.001704034,0.027085232,0.29694235
img_7338.jpg,kwadratory,katownik,0.0007885124,0.058324497,0.76339406,0.0008412287,0.0025157214,0.002925017,0.0005239397,0.17068708
img_8345_247624060.jpg,kwadratory,dwuteownik,0.054931313,0.52274,0.043897487,0.0008858601,0.0016188102,0.14923011,0.004435438,0.22226094
kwadrat.jpg,kwadratory,profil,0.09197593,0.05198452,0.0014332479,0.04967708,0.0028712247,0.0010802036,0.800078,0.0008997761
pret-nierdzewny-inox-kwadratowy-10x10-05-mb-tani-zrecin-488514727.jpg,kwadratory,ceownik,0.96313673,2.6043168e-07,1.6224666e-07,0.036465008,2.856375e-06,0.0003723934,2.2088201e-05,4.4829713e-07
prety-kwadratowe2-1.jpg,kwadratory,dwuteownik,0.05205739,0.90929145,8.225749e-06,0.00030783145,0.00014205035,0.0003593108,0.037601795,0.00023189868
pręt-nierdzewny-kwadratowy-.jpg,kwadratory,ceownik,0.84855235,0.014636703,6.228447e-05,0.096381,3.121768e-05,0.03963509,0.00036585252,0.00033546268
pręty-kwadratowe.jpg,kwadratory,dwuteownik,2.973196e-06,0.9953245,2.2905267e-06,5.076797e-09,2.6139485e-06,1.8189893e-09,1.5622776e-06,0.0046660863
1.jpg,okragly,rura,0.011391632,0.16707201,0.0017622509,0.022949833,0.06370453,0.017026717,0.0051428345,0.7109502
188271.jpg,okragly,rura,1.3526533e-08,0.0036327087,9.8727746e-08,1.2897026e-05,0.03323329,8.022858e-06,0.0007419989,0.962371
3-sztuk-partia-304-pr-t-ze-stali-nierdzewnej-wytrzyma-y-pr-t.jpg,okragly,dwuteownik,6.9696245e-07,0.99338186,1.9809708e-08,7.717665e-11,2.3368202e-06,1.6813692e-08,3.0144489e-05,0.0065849847
4d4cc5a044e5a5b22b91cf7d7bb1.jpg,okragly,dwuteownik,0.0021746992,0.4927443,0.00047564213,0.00013603923,0.1980017,0.00015014893,0.005958037,0.30035943
83881649_1100243370322358_4308643850554966016_n.jpg,okragly,rura,0.001737101,0.01518516,1.2802241e-05,0.0006535722,0.06683866,0.0009967868,0.0026822458,0.9118936
image.jpg,okragly,rura,0.0028720307,0.053963587,4.4013486e-06,0.00014416632,0.054968107,0.00033301368,0.0029918072,0.8847229
images.jpg,okragly,dwuteownik,0.25536323,0.55062777,0.00066380197,0.050867684,0.0004189782,0.14098369,0.00014585529,0.0009290492
IMG20220625100201.jpg,okragly,dwuteownik,0.035356797,0.9643682,2.0270069e-10,8.7983354e-10,1.8826928e-08,3.8849984e-10,0.00024233069,3.2606404e-05
IMG20220625100205.jpg,okragly,ceownik,0.9992674,0.00038256598,3.826829e-08,0.00030363415,3.8076316e-05,6.046184e-06,1.1240047e-06,1.1469817e-06
IMG20220625100210.jpg,okragly,ceownik,0.8859788,0.11346922,4.2954225e-06,0.00032884028,0.00021581734,1.4270158e-07,1.632842e-06,1.2927158e-06
IMG20220625100213.jpg,okragly,ceownik,0.8560862,0.13724202,1.7772346e-06,2.7744847e-05,0.0026830672,2.1799227e-05,0.001397559,0.0025397975
IMG20220625101914.jpg,okragly,ceownik,0.95980954,0.0063228616,1.5455058e-08,0.016293218,0.0175222,6.946328e-06,4.3479646e-05,1.6564861e-06
IMG20220625101922.jpg,okragly,ceownik,0.74116194,0.17849614,2.3489211e-07,0.032336697,0.004904657,0.0002212937,0.00018880027,0.042690303
IMG20220625102015.jpg,okragly,dwuteownik,0.42484707,0.5751448,1.7391044e-09,1.4776947e-08,1.5803619e-07,1.1772623e-09,7.5355856e-06,3.932975e-07
IMG20220625102017.jpg,okragly,dwuteownik,0.070771694,0.86194885,5.117025e-06,1.526674e-05,0.061356362,9.887018e-06,0.0025554425,0.0033374291
IMG20220625102019.jpg,okragly,dwuteownik,0.010479409,0.91712826,2.11739e-05,0.00028678207,0.03807942,0.0013097242,0.0022486127,0.030446632
IMG20220625102021.jpg,okragly,ceownik,0.500984,0.019436251,1.287649e-06,0.11530684,0.28908288,0.00032821367,0.019305343,0.055555146
pobrane.jpg,okragly,rura,0.07656588,0.0007764029,0.0002691801,0.002474638,0.29783386,0.022512343,0.00018038269,0.5993872
