fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00005-view03.png,ceownik,dwuteownik,0.1845448,0.7374091,0.03178026,0.046265893
ceownik_00015-view01.png,ceownik,dwuteownik,0.20118776,0.79647374,0.0010291836,0.0013093329
ceownik_00035-view01.png,ceownik,dwuteownik,0.06884762,0.93038654,4.6255107e-05,0.00071959756
ceownik_00035-view03.png,ceownik,dwuteownik,0.09706541,0.9027782,6.382258e-05,9.251754e-05
ceownik_00053-view04.png,ceownik,plaskownik,0.20443332,0.055944894,0.28438485,0.4552369
ceownik_00055-view02.png,ceownik,plaskownik,0.03774971,0.010516293,0.0035943312,0.94813955
ceownik_00063-view02.png,ceownik,plaskownik,0.03239532,0.13386382,0.0024202545,0.8313206
ceownik_00067-view01.png,ceownik,dwuteownik,0.1596422,0.8200944,0.004264947,0.01599844
ceownik_00075-view03.png,ceownik,dwuteownik,0.37423423,0.61473244,0.00092023576,0.010113088
dwuteownik_00083-view01.png,dwuteownik,ceownik,0.89053035,0.10138644,0.00016798194,0.007915187
dwuteownik_00083-view03.png,dwuteownik,ceownik,0.5285783,0.47100845,5.4340715e-05,0.00035894502
katownik_00010-view04.png,katownik,plaskownik,0.028305056,0.0044967094,0.0070179184,0.96018034
katownik_00011-view01.png,katownik,plaskownik,0.039920732,0.008911866,0.26359093,0.6875765
plaskownik_00188-view01.png,plaskownik,ceownik,0.4304103,0.1349143,0.06661599,0.3680594
