fname,true_label,predicted_label,ceownik,dwuteownik,katownik,plaskownik
ceownik_00004-view02.png,ceownik,dwuteownik,0.25700566,0.45471472,0.012235992,0.27604356
ceownik_00004-view03.png,ceownik,plaskownik,0.16636387,0.114379175,0.16065335,0.5586036
ceownik_00006-view01.png,ceownik,plaskownik,0.1114061,0.0258122,0.23022313,0.6325585
ceownik_00020-view02.png,ceownik,dwuteownik,0.36597583,0.39063072,0.07262334,0.17077011
ceownik_00048-view03.png,ceownik,dwuteownik,0.2549575,0.26371998,0.23143332,0.24988917
ceownik_00054-view03.png,ceownik,plaskownik,0.05899692,0.01614495,0.108723,0.81613517
ceownik_00069-view04.png,ceownik,dwuteownik,0.3563051,0.37896258,0.08394461,0.18078779
ceownik_00075-view02.png,ceownik,dwuteownik,0.073114894,0.9079392,0.00018961263,0.018756295
dwuteownik_00023-view03.png,dwuteownik,plaskownik,0.06255246,0.01097053,0.21895826,0.70751876
dwuteownik_00027-view03.png,dwuteownik,plaskownik,0.18543643,0.13708161,0.17711462,0.50036734
dwuteownik_00027-view04.png,dwuteownik,ceownik,0.3291601,0.27838436,0.15109114,0.24136439
dwuteownik_00064-view03.png,dwuteownik,ceownik,0.30271485,0.27481556,0.17663401,0.2458356
katownik_00003-view02.png,katownik,dwuteownik,0.2549575,0.26371998,0.23143332,0.24988917
katownik_00005-view01.png,katownik,plaskownik,0.050562676,0.0045630694,0.46697545,0.47789878
katownik_00013-view03.png,katownik,plaskownik,0.047337487,0.004158153,0.3947378,0.55376655
katownik_00014-view03.png,katownik,plaskownik,0.013212586,0.0005220835,0.16355872,0.8227065
katownik_00016-view02.png,katownik,plaskownik,0.009975435,0.00038701927,0.11109664,0.878541
