Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
ceownik_00001-view02.png,ceownik,inny,0.99530029296875
ceownik_00042-view01.png,ceownik,inny,0.6370039582252502
ceownik_00049-view03.png,ceownik,inny,0.5118324756622314
ceownik_00069-view01.png,ceownik,inny,0.8328509330749512
ceownik_00069-view03.png,ceownik,inny,0.9979103207588196
ceownik_00088-view02.png,ceownik,inny,0.916480541229248
ceownik_00166-view02.png,ceownik,inny,0.6629149317741394
ceownik_00169-view02.png,ceownik,inny,0.8528316617012024
ceownik_00223-view01.png,ceownik,inny,0.5300575494766235
dwuteownik_00008-view04.png,inny,ceownik,0.9658909030258656
dwuteownik_00012-view02.png,inny,ceownik,0.5837437212467194
dwuteownik_00015-view04.png,inny,ceownik,0.5373455584049225
dwuteownik_00016-view04.png,inny,ceownik,0.5864583849906921
dwuteownik_00017-view04.png,inny,ceownik,0.5488497614860535
dwuteownik_00027-view02.png,inny,ceownik,0.738270103931427
dwuteownik_00029-view03.png,inny,ceownik,0.9866529684513807
dwuteownik_00042-view02.png,inny,ceownik,0.556742936372757
dwuteownik_00059-view02.png,inny,ceownik,0.5037079453468323
dwuteownik_00063-view03.png,inny,ceownik,0.5151961147785187
dwuteownik_00077-view03.png,inny,ceownik,0.9621742442250252
katownik_00008-view04.png,inny,ceownik,0.581566721200943
katownik_00021-view01.png,inny,ceownik,0.9690382182598114
katownik_00021-view04.png,inny,ceownik,0.9992749552475289
plaskownik_00026-view03.png,inny,ceownik,0.9911199202761054
