Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
ceownik_00026-view02.png,ceownik,inny,0.7744460701942444
ceownik_00037-view01.png,ceownik,inny,0.6067577600479126
ceownik_00039-view03.png,ceownik,inny,0.9580407738685608
ceownik_00041-view01.png,ceownik,inny,0.6134941577911377
ceownik_00041-view03.png,ceownik,inny,0.7014960646629333
ceownik_00058-view03.png,ceownik,inny,0.8847982883453369
ceownik_00068-view02.png,ceownik,inny,0.5258460640907288
ceownik_00069-view02.png,ceownik,inny,0.606881320476532
ceownik_00082-view04.png,ceownik,inny,0.7744089365005493
ceownik_00085-view03.png,ceownik,inny,0.8274175524711609
ceownik_00107-view04.png,ceownik,inny,0.5690664649009705
ceownik_00123-view01.png,ceownik,inny,0.717068076133728
ceownik_00125-view01.png,ceownik,inny,0.6538179516792297
ceownik_00152-view01.png,ceownik,inny,0.8279414176940918
ceownik_00157-view03.png,ceownik,inny,0.6230159997940063
ceownik_00172-view03.png,ceownik,inny,0.9953336119651794
ceownik_00194-view01.png,ceownik,inny,0.5113646388053894
ceownik_00198-view04.png,ceownik,inny,0.9999879598617554
ceownik_00206-view04.png,ceownik,inny,0.5650841593742371
ceownik_00227-view03.png,ceownik,inny,0.6046624779701233
ceownik_00231-view02.png,ceownik,inny,0.8690844178199768
ceownik_00240-view04.png,ceownik,inny,0.8785393238067627
dwuteownik_00002-view04.png,inny,ceownik,0.9483719207346439
dwuteownik_00003-view01.png,inny,ceownik,0.8413293957710266
dwuteownik_00003-view04.png,inny,ceownik,0.6858377754688263
dwuteownik_00012-view04.png,inny,ceownik,0.981610519811511
dwuteownik_00022-view01.png,inny,ceownik,0.874494731426239
dwuteownik_00024-view02.png,inny,ceownik,0.6742447912693024
dwuteownik_00029-view02.png,inny,ceownik,0.6834574341773987
dwuteownik_00030-view01.png,inny,ceownik,0.7958488315343857
dwuteownik_00030-view03.png,inny,ceownik,0.568002849817276
dwuteownik_00033-view01.png,inny,ceownik,0.9166587442159653
dwuteownik_00033-view03.png,inny,ceownik,0.943045936524868
dwuteownik_00034-view04.png,inny,ceownik,0.9844690216705203
dwuteownik_00035-view03.png,inny,ceownik,0.7333183288574219
dwuteownik_00036-view04.png,inny,ceownik,0.7370935678482056
dwuteownik_00043-view01.png,inny,ceownik,0.8999028727412224
dwuteownik_00044-view01.png,inny,ceownik,0.6690604090690613
dwuteownik_00046-view03.png,inny,ceownik,0.8116244077682495
dwuteownik_00049-view04.png,inny,ceownik,0.7592203468084335
dwuteownik_00052-view03.png,inny,ceownik,0.9895687643438578
dwuteownik_00058-view03.png,inny,ceownik,0.9997083787166048
dwuteownik_00067-view03.png,inny,ceownik,0.9995543053664733
dwuteownik_00068-view04.png,inny,ceownik,0.7607646733522415
dwuteownik_00070-view04.png,inny,ceownik,0.992034257389605
dwuteownik_00073-view04.png,inny,ceownik,0.5652442872524261
dwuteownik_00074-view03.png,inny,ceownik,0.9995539062365424
dwuteownik_00078-view02.png,inny,ceownik,0.975176740437746
dwuteownik_00079-view01.png,inny,ceownik,0.9994407460908405
dwuteownik_00079-view04.png,inny,ceownik,0.9158566817641258
dwuteownik_00082-view04.png,inny,ceownik,0.9484016001224518
dwuteownik_00083-view02.png,inny,ceownik,0.9167819768190384
katownik_00002-view03.png,inny,ceownik,0.8468283116817474
katownik_00005-view01.png,inny,ceownik,0.6845024824142456
katownik_00005-view03.png,inny,ceownik,0.5223517119884491
katownik_00009-view03.png,inny,ceownik,0.7573705315589905
katownik_00019-view02.png,inny,ceownik,0.6810670495033264
katownik_00023-view02.png,inny,ceownik,0.8188926130533218
katownik_00027-view03.png,inny,ceownik,0.9893798287957907
katownik_00062-view03.png,inny,ceownik,0.5620504319667816
katownik_00067-view04.png,inny,ceownik,0.9400398097932339
katownik_00073-view02.png,inny,ceownik,0.9694615304470062
katownik_00077-view04.png,inny,ceownik,0.9174901470541954
katownik_00078-view03.png,inny,ceownik,0.8550490587949753
katownik_00079-view02.png,inny,ceownik,0.7310612201690674
katownik_00081-view01.png,inny,ceownik,0.7245616912841797
katownik_00081-view04.png,inny,ceownik,0.9152735099196434
katownik_00082-view01.png,inny,ceownik,0.7914796620607376
katownik_00082-view04.png,inny,ceownik,0.6362958550453186
plaskownik_00064-view01.png,inny,ceownik,0.9055446982383728
plaskownik_00082-view02.png,inny,ceownik,0.6616438627243042
plaskownik_00082-view03.png,inny,ceownik,0.9871601304039359
