Nazwa pliku,Klasa rzeczywista,Klasa predykowana,ceownik,dwuteownik,katownik,kwadratowy,okragly,plaskownik,profil,rura
ceownik_00001-view01.png,ceownik,plaskownik,0.048598792,0.0010130958,0.0038445927,1.1523376e-05,2.8339068e-06,0.94612837,0.00031415225,8.658496e-05
ceownik_00001-view03.png,ceownik,plaskownik,0.11638926,2.2091644e-05,2.631668e-06,1.5316866e-06,2.6087176e-07,0.88351244,7.1530245e-05,3.1753706e-07
ceownik_00068-view01.png,ceownik,plaskownik,0.27223253,0.0046255547,1.0026772e-05,0.00040686424,0.0004208754,0.721309,0.0009873073,7.847581e-06
ceownik_00072-view01.png,ceownik,dwuteownik,0.13607013,0.86386955,7.7011225e-07,3.8131137e-07,1.03080964e-07,3.1259304e-05,2.5854984e-05,1.9772508e-06
ceownik_00230-view03.png,ceownik,dwuteownik,0.019268073,0.97768104,0.0030450025,1.8413043e-06,6.550469e-07,1.512648e-06,9.582923e-08,1.7610697e-06
ceownik_00247-view01.png,ceownik,dwuteownik,0.03460356,0.8003684,0.16487107,4.2397804e-07,0.00011929115,1.1285027e-05,1.5636184e-05,1.0214958e-05
dwuteownik_00021-view01.png,dwuteownik,ceownik,0.7935979,0.20639312,7.0951755e-06,2.1312847e-08,6.15198e-08,5.914623e-07,1.5787685e-07,1.0976115e-06
dwuteownik_00069-view01.png,dwuteownik,ceownik,0.99922335,0.0007501129,5.5721745e-07,1.4697703e-08,1.302435e-08,4.352934e-06,2.116323e-05,4.7490013e-07
dwuteownik_00077-view03.png,dwuteownik,ceownik,0.9634467,0.007942018,0.0032681138,4.145311e-06,3.1141586e-05,0.02389265,0.0013861326,2.9168868e-05
dwuteownik_00175-view04.png,dwuteownik,plaskownik,0.20316873,0.0835364,0.0036584116,0.0022667518,3.104634e-05,0.70730764,1.7509269e-06,2.9281806e-05
dwuteownik_00199-view04.png,dwuteownik,ceownik,0.5415178,0.0058071692,0.19643585,4.145126e-06,0.0008906241,6.382848e-05,0.24830954,0.0069710864
dwuteownik_00220-view04.png,dwuteownik,katownik,0.00020149107,0.4312632,0.5680434,6.245516e-05,0.00011155773,0.00020572256,0.00011192869,2.482627e-07
okragly_00132-view04.png,okragly,rura,1.0168143e-06,6.966546e-08,4.0514696e-08,5.143733e-07,0.342692,1.9031632e-09,1.5962734e-06,0.65730476
profil_00022-view01.png,profil,kwadratowy,0.0005237885,3.710384e-05,0.0047910963,0.8385261,0.048122805,0.021531502,0.08641998,4.7631373e-05
profil_00135-view04.png,profil,ceownik,0.8002431,0.061501373,8.0085135e-07,0.0001698134,4.595288e-06,1.1742825e-06,0.13807175,7.4837917e-06
rura_00002-view04.png,rura,okragly,2.0385214e-07,7.363757e-09,3.4895717e-08,5.085004e-07,0.73010486,1.8104297e-10,9.035879e-07,0.26989344
