Nazwa pliku,Klasa rzeczywista,Klasa predykowana,Prawdopodobieństwo
dwuteownik_00001-view03.png,dwuteownik,inny,0.7031377553939819
dwuteownik_00008-view01.png,dwuteownik,inny,0.7307517528533936
dwuteownik_00013-view01.png,dwuteownik,inny,0.8377268314361572
dwuteownik_00028-view03.png,dwuteownik,inny,0.701840341091156
dwuteownik_00037-view02.png,dwuteownik,inny,0.9226619601249695
dwuteownik_00050-view02.png,dwuteownik,inny,0.8156609535217285
dwuteownik_00067-view02.png,dwuteownik,inny,0.9235837459564209
dwuteownik_00073-view01.png,dwuteownik,inny,0.9964843988418579
dwuteownik_00074-view04.png,dwuteownik,inny,0.9475049376487732
dwuteownik_00082-view03.png,dwuteownik,inny,0.598198652267456
dwuteownik_00083-view01.png,dwuteownik,inny,0.9986432194709778
dwuteownik_00083-view04.png,dwuteownik,inny,0.6333444118499756
dwuteownik_00131-view02.png,dwuteownik,inny,0.9188178777694702
dwuteownik_00176-view02.png,dwuteownik,inny,0.5102322697639465
dwuteownik_00185-view03.png,dwuteownik,inny,0.7926701903343201
dwuteownik_00196-view03.png,dwuteownik,inny,0.932663083076477
dwuteownik_00199-view02.png,dwuteownik,inny,0.5159704089164734
dwuteownik_00237-view03.png,dwuteownik,inny,0.5045669674873352
ceownik_00004-view03.png,inny,dwuteownik,0.6048553586006165
ceownik_00006-view02.png,inny,dwuteownik,0.953295286744833
ceownik_00008-view02.png,inny,dwuteownik,0.9851544378325343
ceownik_00013-view01.png,inny,dwuteownik,0.8651554435491562
ceownik_00018-view04.png,inny,dwuteownik,0.9978037001565099
ceownik_00020-view02.png,inny,dwuteownik,0.9807794410735369
ceownik_00021-view01.png,inny,dwuteownik,0.9994261561660096
ceownik_00021-view02.png,inny,dwuteownik,0.9880322217941284
ceownik_00025-view01.png,inny,dwuteownik,0.7006919384002686
ceownik_00031-view04.png,inny,dwuteownik,0.5420049428939819
ceownik_00055-view03.png,inny,dwuteownik,0.5742896795272827
ceownik_00064-view01.png,inny,dwuteownik,0.9160893484950066
ceownik_00072-view04.png,inny,dwuteownik,0.8657390922307968
ceownik_00074-view01.png,inny,dwuteownik,0.9616574048995972
ceownik_00075-view03.png,inny,dwuteownik,0.8570264279842377
ceownik_00078-view03.png,inny,dwuteownik,0.9856502208858728
ceownik_00079-view02.png,inny,dwuteownik,0.7958583235740662
ceownik_00082-view01.png,inny,dwuteownik,0.9937723218463361
ceownik_00082-view03.png,inny,dwuteownik,0.9252273663878441
katownik_00012-view01.png,inny,dwuteownik,0.8231245279312134
katownik_00075-view03.png,inny,dwuteownik,0.7818774431943893
plaskownik_00019-view01.png,inny,dwuteownik,0.6316453218460083
plaskownik_00053-view02.png,inny,dwuteownik,0.6246083676815033
plaskownik_00062-view03.png,inny,dwuteownik,0.9157859534025192
